year,apogee,proca,pruned,plot,score_factor
2018,Symptom,Yes,No,F.I,3
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,3
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,3
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,2
2018,Symptom,Yes,No,F.I,4
2018,Symptom,Yes,No,F.I,2
2019,Symptom,Yes,No,F.I,1
2019,Symptom,Yes,No,F.I,2
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,1
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,1
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,2
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,2
2019,Symptom,Yes,No,F.I,1
2019,Symptom,Yes,No,F.I,3
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,2
2019,Symptom,Yes,No,F.I,4
2019,Symptom,Yes,No,F.I,4
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,4
2018,None,No,Yes,A.II,3
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,2
2018,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,2
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,3
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,4
2019,None,No,Yes,A.II,3
2018,None,No,No,B.II,3
2018,None,No,No,B.II,4
2018,None,No,No,B.II,3
2018,None,No,No,B.II,2
2018,None,No,No,B.II,4
2018,None,No,No,B.II,4
2018,None,No,No,B.II,3
2018,None,No,No,B.II,2
2018,None,No,No,B.II,4
2018,None,No,No,B.II,3
2018,None,No,No,B.II,4
2018,None,No,No,B.II,4
2018,None,No,No,B.II,4
2018,None,No,No,B.II,2
2018,None,No,No,B.II,2
2018,None,No,No,B.II,2
2018,None,No,No,B.II,2
2018,None,No,No,B.II,4
2018,None,No,No,B.II,4
2018,None,No,No,B.II,3
2018,None,No,No,B.II,3
2018,None,No,No,B.II,4
2018,None,No,No,B.II,4
2018,None,No,No,B.II,2
2018,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,2
2019,None,No,No,B.II,3
2019,None,No,No,B.II,4
2019,None,No,No,B.II,3
2019,None,No,No,B.II,4
2019,None,No,No,B.II,3
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,3
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2019,None,No,No,B.II,4
2018,Bloom,Yes,Yes,C.II,4
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,4
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,3
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,3
2018,Bloom,Yes,Yes,C.II,4
2018,Bloom,Yes,Yes,C.II,4
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,4
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,4
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,2
2018,Bloom,Yes,Yes,C.II,3
