trt,rep,dias,verdor,e1_sev,e2_sev,af_sana,sev_tot
5,2,9,95.3333333333333,0.795,0.9,93.6383333333333,1.695
5,2,20,100,5.58005095042132,0.962962962962963,93.4569860866157,6.54301391338428
5,2,29,100,2.49940476190476,2.15,95.3505952380952,4.64940476190476
5,3,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
5,3,9,92,0.957947376970773,1.14818277173934,89.8938698512899,2.10613014871011
5,3,20,93.3333333333333,5.90416666666667,1.67857142857143,85.7505952380952,7.5827380952381
5,3,29,100,1.76666666666667,0.433333333333333,97.8,2.2
5,4,0,90.6666666666667,0.705882352941176,1.45588235294118,88.5049019607844,2.16176470588236
5,4,9,93.3333333333333,1.10875807664425,0.80594561357572,91.4186296431133,1.91470369021997
5,4,20,96,4.55208333333333,2.35185185185185,89.0960648148148,6.90393518518518
